CODE,SECTOR
1105,NUCLEO PESQUISA PROCES. ALIMENTOS_CT
1106,LABORATORIO DE ENERGIA SOLAR__CT
1108,DIRECAO CENTRO DE COORD.DE CURSOS-CCT
1109,DEPARTAMENTO DE FISICA__CCT
1110,DEPARTAMENTO DE ENGENHARIA CIVIL_CCT
1111,DEPARTAMENTO DE ENGENHARIA ELETRICA_CCT
1112,DEPARTAMENTO DE SISTEMA COMPUTACAO _ CCT
1113,EPARTAMENTO DE ENGENHARIA AGRICOLA_CCT
1114,DEPARTAMENTO DE ENG. ATMOSFERICA _ CCT
1115,DEPARTAMENTO DE C. AGROBIOLOGICAS _CCT
1116,DEPARTAMENTO DE C. AGROZOOLOGICAS _CCT
1117,DEPARTAMENTO DE ENGENHARIA MECANICA_CCT
1118,DEPARTAMENTO DE MINERACAO GEOLOGICA_CCT
1119,DEPARTAMENTO DE CIENCIAS AGRARIAS__CCT
1120,DEPARTAMENTO DE EDUCACAO DE SOUSA__CCT
1121,DEPARTAMENTO DE MAT. E ESTATISTICA_CCT
1122,NECLEO TECNOLOG. PESQUISA AMBIENTAL_CCT
1123,NUCLEO DE FOMENTO INDUSTRIAL__CCT
1125,DIRECAO CENTRO COORDENACAO DE CURSOS_CFT
1126,DEPARTAMENTO DE TECNOLOGIA RURAL_CFT
1127,DEPARTAMENTO CIENCIAS B. SOCIAIS _ CFT
1129,DEPARTAMENTO METODOLOGIA EDUCACAO__CE
1130,DEPARTAMENTO HABILITACAO PEDAGOGICA_CE
1131,DEPARTAMENTO FUNDAMENTACAO EDUCACAO_CE
1133,DIRECAO CENTRO COORDENACAO CURSOS__CCBS
1134,DEPARTAMENTO CIENCIAS BASICAS SAUDE_CCBS
1135,MED. INTERNA SOCIAL E PREVENTIVA__CCBS
1136,DEPARTAMENTO CLINICA CIRURGICA__CCBS
1137,DEPARTAMENTO SAUDE MATERN.INFANTIL _CCBS
1139,DIRECAO CENTRO COORDENACAO DE CURSOS_CH
1140,DEPARTAMENTO DE EDUCACAO_ CH
1141,DEPARTAMENTO DE SOC. ANTROPOLOGIA _ CH
1142,DEPARTAMENTO DE ECONOMIA E FINANCAS_CH
1143,DEPARTAMENTO DE ARTES__CH
1144,DEPARTAMENTO DE LETRAS_CH
1145,DEPARTAMENTO DE HISTORIA E GEOGRAFIA_CH
1147,DIRECAO CENTRO COORDENACAO DE CURSOS_CCA
1148,DEPARTAMENTO DE S.ENGENHARIA RURAL_CCA
1149,DEPARTAMENTO DE FITOTECNIA_CCA
1150,DEPARTAMENTO DE ZOOTECNIA___CCA
1151,DEPARTAMENTO CIENCIAS FUND. SOCIAL _CCA
1153,DIRECAO CENTRO COORD. DE CURSOS-CCJS
1154,DEPARTAMENTO DE CIENCIAS JURIDICAS_CCJS
1155,DEPARTAMENTO DE ESTUDOS BASICOS__CCJS
1156,DEPARTAMENTO DE DIREITO PRIVADO_CCJS
1158,DIRECAO CENTRO COORDENACAO DE CURSOS_CFP
1159,CIENCIAS EXATAS E NATURAIS__CFP
1160,DEPARTAMENTO EDUCACAO E LETRAS__CFP
1161,DEPARTAMENTO_DE LETRAS__CFP
1162,DIRECAO CENTRO COORDENACAO DE CURSOS_CCJ
1163,DEPARTAMENTO DE DIREITO PUBLICO__CCJ
1164,DEPARTAMENTO DE DIREITO PRIVADO__CCJ
1165,DIR. PROCESS. E PRATICA FORENSE__CCJ
1167,DIRECAO CENTRO COORD. DE CURSOS _ CSTR
1168,DEPARTAMENTO DE CIENCIAS BASICAS__CSTR
1169,DEPARTAMENTO DE VETERINARIA__CSTR
1170,DEPARTAMENTO DE ENGEN.FLORESTAL _ CSTR
1171,BIBLIOTECA CENTRAL
1172,HOSP - HU LAURO WANDERLEY
1173,HOSP - HULW C. TERMICA
1174,HOSP - HULW TRANSPORTE
1175,HOSP - HULW MANUT CONST PREDIAL
1176,HOSP - HULW MANUT EQUIPAMENTOS
1177,HOSP - HULW ALMOXARIFADO
1178,HOSP - HULW LAVANDERIA E ROUPARIA
1179,HOSP - HULW COSTURA
1180,HOSP - HULW CENTRO MATERIAL ESTERIL
1181,HOSP - HULW FARMACIA
1182,HOSP - HULW NUTRICAO E DIETETICA
1183,HOSP - HULW SERVICO ATEND MEDICO
1184,HOSP - HULW BANCO DE SANGUE
1185,HOSP - HULW LABORATORIO ANAL CLINICAS
1186,HOSP - HULW ANATOMIA PATOLOGICA
1187,HOSP - HULW ULTRASSONOGRAFIA
1188,HOSP - HULW TOMOGRA COMPUTADORIZADA
1189,HOSP - HULW MEDICINA NUCLEAR
1190,HOSP - HULW ENDOSCOPIA
1191,HOSP - HULW CENTRO OBSTETRICO
1192,HOSP - HULW UTI
1193,HOSP - HULW CLINICA MEDICA
1194,HOSP - HULW CLINICA OBSTETRICA
1195,HOSP - HULW CLINICA PEDIATRICA
1196,HOSP - HULW CLINICA DE D.I.C.
1197,HOSP - HULW TISIOLOGIA
1198,HOSP - HULW CONDOMINIO
1199,HOSP - HULW PRONTO ATENDIMENTO
1200,HOSP - HULW CENTRO ADMINISTRATIVO
1201,HOSP - HULW FISIOTERAPIA
1202,HOSP - HULW HERMODINAMICA
1203,HOSP - HULW PSICOLOGIA
1204,HOSP - HULW CLIN UROGENICOLOCA
1205,HOSP - HULW PERCARIO PATOLOGICO
1206,HOSP - HULW CENTRO DIRETORIAS
1207,LABORATORIO TECNOLOG. FARMACEUTICO
1208,EDITORA UNIVERSITARIA
1209,LABORATORIO DE ENERGIA SOLAR
1210,FUNDACAO VIRGINIOS DA GAMA E MELO
1211,NUCLEO TEATRO UNIVERSITARIO
1212,ACAD. COMERCIO EPITACIO PESSOA
1213,NUCLEO ESTUDOS TECNOL. ENG. BIOMET.
1214,NUCLEO PESQUISA PROCES. ALIMENTO
1215,NUCLEO TEC. EM ARMAZENAGEM
1216,FUND. JOSE AMERICO - JOAO PESSOA
1217,FUND. JOSE AMERICO - CAMPINA GRANDE
1218,FUNDACAO JOSE AMERICO - BANANEIRAS
1219,FUNDACAO APOIO PESQUISA EXTENSAO
1220,SRH GABINETE DO SUPERINTENDENTE
1221,NUCLEO DE PESQUISA POPULAR_PRAC
1222,ORGAOS NAO VINCULADOS
1225,DEPARTAMENTO DE ENGENHARIA QUIMICA_CCT
1226,DEPARTAMENTO DE EDUCACAO___CCT
1227,DIRECAO CENTRO COORDENACAO DE CURSOS_CE
1228,DEPARTAMENTO ADM. CONTABILIDADE _ CH
1229,DIREITO PUBLICO E PRATICA FORENSE_CCJS
1230,DEPARTAMENTO DE CIENCIAS SOCIAIS__CFP
1231,HOSP - HULW LIMPEZA
1232,HOSP - HULW SERVICO SOCIAL
1233,HOSP - HULW CENTRO CIRURGICO
1234,HOSP - HULW AMBULATORIO
1235,FUNDACAO JOSE AMERICO - AREIA
1236,DEPARTAMENTO DE EDUCACAO__CFP
1237,HOSP - HULW SERVICO DE EMERGENCIA
1238,COLEGIADO DA UFPB - REITORIA
1239,REITORIA - GABINETE DA REITORIA
1240,REITORIA - ASSESSORIA ESPECIAL DE  RELAÇÕES PÚBLICAS
1241,ASSESSORIA DE ASSUNTOS INTERNACIONAIS
1242,CONSELHOS SUPERIORES
1243,REDE TELECOMUNICACOES DO MEC
1245,NÚCLEO DE DOCUMENTAÇÃO E INFORMAÇÃO HISTÓRICA REGIONAL (NDIHR)
1246,REITORIA - COMISSÃO PERMANENTE DE PROCESSOS ADMINISTRATIVOS
1247,GABINETE DA VICE-REITORIA
1248,PROCURADORIA JURÍDICA
1250,SUPERINTENDENCIA DE RECURSOS HUMANOS
1251,SRH - GABINETE DA SUPERINTENDENCIA
1252,SRH-CLN
1253,SRH-CLN-DCRC
1254,SRH-CPPTA
1255,SRH-CPACE
1256,SRH-SESMET
1257,SRH-INATIVOS
1258,SRH-CPPD
1259,SRH-CRH
1260,SRH-CRH-DCL
1261,SRH-CRH-DSA
1262,SRH-CRH-DCS
1263,SRH-CRH-EXPEDIENTE
1264,SRH-CRH-ARQUIVO
1265,SRH-CRH-MOVIMENTACAO
1266,PRÓ-REITORIA DE PLANEJAMENTO (PROPLAN)
1267,SUPERINTENDÊNCIA DE TECNOLOGIA DA INFORMAÇÃO (STI)
1268,PROPLAN - NÚCLEO DE PESQUISA INSTITUCIONAL
1269,PRÓ-REITORIA DE ADMINISTRAÇÃO (PRA)
1270,PRA - COORDENAÇÃO DE CONTABILIDADE E FINANÇAS
1271,PRA - COORDENAÇÃO DE ADMINISTRAÇÃO
1272,PRÓ-REITORIA DE PÓS-GRADUAÇÃO (PRPG)
1273,PRÓ-REITORIA DE GRADUAÇÃO (PRG)
1274,PRG - COMISSÃO PERMANENTE REGIME DE TRABALHO
1275,PRG - COORDENAÇÃO ACADÊMICA
1276,PRG - COMISSÃO PERMANENTE DO VESTIBULAR
1277,PRÓ-REITORIA DE EXTENSÃO  (PROEX)
1278,PROEX - COORDENAÇÃO DE EXTENSÃO CULTURAL (COEX)
1279,PROEX - COORDENAÇÃO DE PROGRAMAS DE EXTENSÃO (COPRE)
1280,PROEX - NÚCLEO ARTESANAL RURAL FEMININO (NARF)
1281,PRAPE - SUPERINTENDÊNCIA DUPLICADA
1282,PRAPE - COORDENAÇÃO DUPLICADA
1283,PROEX - COORDENAÇÃO DE PROGRAMAS DE AÇÃO COMUNITÁRIA (COPAC)
1284,PROEX - NÚCLEO DE PESQUISA E DOCUMENTAÇÃO DA CULTURA POPULAR (NUPPO)
1285,PROEX - NÚCLEO DE ARTE CONTEMPORÂNEA (NAC)
1286,PROEX - NÚCLEO DE DOCUMENTAÇÃO CINEMATOGRÁFICA (NUDOC)
1287,PRAC - CODENF
1288,PREFEITURA UNIVERSITÁRIA
1289,PU - SEÇÃO DE SEGURANÇA
1290,PU - SEÇÃO DE GARAGEM CENTRAL
1291,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE
1292,REITORIA
1293,REITORIA - ASSESSORIA DE ASSUNTOS INTERNACIONAIS
1294,PROCURADORIA JURIDICA
1295,REITORIA - ASSESSORIA DE COMUNICAÇÃO
1296,PRAI - ARQUIVO SETORIAL
1297,PRAI - ALMOXARIFADO SETORIAL
1298,PRAI - DIVISAO DE RECURSOS HUMANOS
1299,PRAI - COORDENACAO SET DE GRADUACAO
1300,CRECHE PRE-ESCOLAR
1301,PRAI - COORD SETORIAL COMUNITARIA
1302,PRAI - COORD SETORIAL ADMINISTRATIVA
1303,PRAI - COORD SETORIAL CENTRO ACADEMICO
1304,PRAI - COORD SETORIAL PL DES
1305,PRAI - PRPG ADJUNTA (13.39.18.14)
1306,PRAI - DIRETORIO CENT DO ESTUDANTE
1307,HOSP - HU ALCIDES CARNEIRO
1308,PRAI - DIVISAO DE ADM. DE MATERIAL
1309,PRAI - NUCLEO DE INOVACAO TECNOLOGICA
1310,PRAI - RESTAURANTE UNIVERSITARIO
1311,REITORIA - SODS - SECRETARIA DOS ORGAOS DEL. SUPERIORES
1312,PRAI - SESMET
1313,PRAI - SISTEMA TELEFONICO
1314,PRAI - SUB-COORDENACAO DE PATRIMONIO
1315,PRAI - SETOR DE EXPEDICAO
1316,PRAI - GRAFICA
1317,PRAI - SETOR MEDICO-ODONTOLOGICO
1318,PRAI - BIBLIOTECA SETORIAL
1319,PRAI - CURSO DE LINGUA RUSSA
1320,PRAI - SUEP
1321,PRAI - SUEP/GAT NUCLEO DE SOUSA
1322,PRAI - SETOR DE PROTOCOLO
1323,PRAI - PSICOLOGIA ORGANIZACIONAL
1324,PRAI - SUB-PREFEITURA UNIVERSITARIA
1325,PRAI - NUCLEO DE PROCESSAMENTO DE DADOS
1326,PENSIONISTAS CIVIS
1327,CENTRO DE CIÊNCIAS SOCIAIS E APLICADAS (CCSA)
1328,CCSA - DIREÇÃO DE CENTRO
1329,CCSA - DEPARTAMENTO DE ECONOMIA
1330,CCSA - DEPARTAMENTO DE ADMINISTRACAO
1331,CCSA - DEPARTAMENTO DE CIÊNCIA DA INFORMAÇÃO
1332,CCSA - DEPARTAMENTO DE FINANÇAS E CONTABILIDADE
1333,CENTRO DE CIÊNCIAS EXATAS E DA NATUREZA (CCEN)
1334,CCEN - DIREÇÃO DE CENTRO
1335,CCEN - DEPARTAMENTO DE FÍSICA
1336,CCEN - DEPARTAMENTO DE GEOCIÊNCIAS
1337,CCEN - DEPARTAMENTO DE MATEMÁTICA
1338,CCEN - DEPARTAMENTO DE QUÍMICA
1339,CCEN - DEPARTAMENTO DE BIOLOGIA MOLECULAR
1340,CCEN - DEPARTAMENTO DE BIO-FÍSICA
1341,CCEN - DEPARTAMENTO DE ESTATÍSTICA
1342,CCEN - DEPARTAMENTO DE SISTEMÁTICA E ECOLOGIA
1343,CCEN - DEPARTAMENTO DE INFORMÁTICA
1344,LABORATÓRIO DE ESTUDOS AMBIENTAIS (LEA)
1345,CENTRO DE CIÊNCIAS HUMANAS; LETRAS E ARTES (CCHLA)
1346,CCHLA - DIREÇÃO DE CENTRO
1347,CCHLA - DEPARTAMENTO DE CIÊNCIAS SOCIAIS
1348,CCHLA - DEPARTAMENTO DE FILOSOFIA
1349,CCHLA - DEPARTAMENTO DE LETRAS CLÁSSICAS E VERNÁCULAS
1350,CCHLA - DEPARTAMENTO DE LETRAS ESTRANGEIRAS E MODERNAS
1351,CCHLA - DEPARTAMENTO DE PSICOLOGIA
1352,CCTA - DEPARTAMENTO DE ARTES
1353,CCHLA - DEPARTAMENTO DE SERVIÇO SOCIAL
1354,CCHLA - DEPARTAMENTO DE HISTÓRIA
1355,CCTA - DEPARTAMENTO DE MÚSICA
1356,CCTA - DEPARTAMENTO DE
1357,CENTRO DE CIÊNCIAS DA SAÚDE (CCS)
1358,CCS - DIREÇÃO DE CENTRO
1359,CCS - DEPARTAMENTO DE CLÍNICA E ODONTOLOGIA SOCIAL
1360,CCS - DEPARTAMENTO DE ODONTOLOGIA RESTAURADORA
1361,CCS - DEPARTAMENTO DE MEDICINA INTERNA
1362,CCS - DEPARTAMENTO DE MATERNO INFANTIL
1363,CCS - DEPARTAMENTO DE PROMOÇÃO DA SAÚDE
1364,CCS - DEPARTAMENTO DE CIÊNCIAS FARMACÊUTICAS
1365,CCS - DEPARTAMENTO DE FISIOLOGIA E PATOLOGIA
1366,CCS - DEPARTAMENTO DE MORFOLOGIA
1367,CCS - DEPARTAMENTO DE CULTURA FÍSICA E REABILITAÇÃO
1368,CCS - DEPARTAMENTO DE NUTRIÇÃO
1369,CCS - DEPARTAMENTO DE EDUCAÇÃO FÍSICA
1370,CCS - DEPARTAMENTO DE FISIOTERAPIA
1371,CCS - DEPARTAMENTO DE ENFERMAGEM CLÍNICA
1372,CCS - DEPARTAMENTO DE ENFERMAGEM EM SAÚDE COLETIVA
1373,CCS - ESCOLA TÉCNICA DE SAÚDE
1374,CENTRO DE TECNOLOGIA (CT)
1375,CT - DIREÇÃO DE CENTRO
1376,CT - DEPARTAMENTO DE TECNOLOGIA DA CONSTRUÇÃO CIVIL
1377,CT - DEPARTAMENTO DE ENGENHARIA MECÂNICA
1378,CT - DEPARTAMENTO DE TECNOLOGIA QUÍMICA E ALIMENTOS
1379,CT - DEPARTAMENTO DE ARQUITETURA E URBANISMO
1380,CT - DEPARTAMENTO DE ENGENHARIA DE PRODUÇÃO
1381,CT - NÚCLEO DE PESQUISA E PROCESSAMENTO DE ALIMENTOS (NUPPA)
1382,CEAR - LABORATÓRIO DE ENERGIA SOLAR
1383,CENTRO DE EDUCAÇÃO (CE)
1384,CE - DIREÇÃO DE CENTRO
1385,CE - DEPARTAMENTO DE METODOLOGIA DA EDUCAÇÃO
1386,CE - DEPARTAMENTO DE HABILITAÇÃO PEDAGÓGICA
1387,CE - DEPARTAMENTO DE FUNDAMENTAÇÃO DA EDUCAÇÃO
1388,CENTRO DE CIÊNCIAS JURÍDICAS (CCJ)
1389,CCJ - DIREÇÃO DE CENTRO
1390,CCJ - DEPARTAMENTO DE DIREITO PÚBLICO
1391,CCJ - DEPARTAMENTO DE DIREITO PRIVADO
1392,BIBLIOTECA CENTRAL
1393,EDITORA UNIVERSITÁRIA
1394,LABORATORIO DE TECNOLOGIA FARMACEUTICA
1395,PROEX - NÚCLEO DE TEATRO UNIVERSITÁRIO (NTU)
1396,SUPERINTENDÊNCIA DO HOSPITAL UNIVERSITÁRIO LAURO WANDERLEY
1397,HOSP - HULW LIMPEZA
1398,HOSP - HULW C TERMICA
1399,HOSP - HULW TRANSPORTE
1400,HOSP - HULW MANUTENÇÃO DE CONSTRUÇÃO PREDIAL
1401,HOSP - HULW MANUTENÇÃO DE EQUIPAMENTOS
1402,HOSP - HULW ALMOXARIFADO
1403,HOSP - HULW LAVANDERIA E ROUPARIA
1404,HOSP - HULW COSTURA
1405,HOSP - HULW CENTRO DE MATERIAL DE ESTERILIZAÇÃO
1406,HOSP - HULW FARMÁCIA
1407,HOSP - HULW DIVISÃO DE NUTRIÇÃO E DIETÉTICA
1408,HOSP - HULW SERVIÇO DE ATENDIMENTO MÉDICO
1409,HOSP - HULW DIVISÃO DE SERVIÇO SOCIAL
1410,HOSP - HULW BANCO DE SANGUE
1411,HOSP - HULW UNIDADE DE DIAGNÓSTICO POR IMAGEM-RADIOLOGIA (MÉDICOS)
1412,HOSP - HULW LABORATÓRIO DE ANÁLISES CLÍNICAS
1413,HOSP - HULW MÉTODOS GRÁFICOS
1414,HOSP - HULW SERVIÇO DE ANATOMIA PATOLÓGICA
1415,HOSP - HULW ULTRASSONOGRAFIA
1416,HOSP - HULW TOMOGRA COMPUTADORIZADA
1417,HOSP - HULW MEDICINA NUCLEAR
1418,HOSP - HULW ENDOSCOPIA
1419,HOSP - HULW CENTRO CIRÚRGICO (MÉDICOS)
1420,HOSP - HULW CLÍNICA OBSTÉTRICA (MÉDICOS)
1421,HOSP - HULW UTI ADULTOS (MÉDICOS)
1422,HOSP - HULW CLÍNICA MÉDICA (MÉDICOS)
1423,HOSP - HULW CLÍNICA CIRÚRGICA (ENFERMAGEM)
1424,HOSP - HULW CLÍNICA OBSTÉTRICA (ENFERMAGEM)
1425,HOSP - HULW CLÍNICA PEDIÁTRICA (MÉDICOS)
1426,HOSP - HULW PRONTO ATENDIMENTO
1427,HOSP - HULW SERVIÇO DE EMERGÊNCIA
1428,HOSP - HULW AMBULATÓRIO (MÉDICOS)
1429,HOSP - HULW CENTRO ADMINISTRATIVO
1430,HOSP - HULW DIVISÃO DE FISIOTERAPIA
1431,HOSP - HULW SERVIÇO DE HEMODINAMICA
1432,HOSP - HULW GASOTERAPIA
1433,HOSP - HULW PSICOLOGIA
1434,HOSP - HULW CLÍNICA UROGINECOLÓGICA
1435,HOSP - HULW PERCARIO PATOLOGICO
1436,HOSP - HULW CENTRO DIRETORIA
1437,CENTRO DE CIENCIAS E TECNOLOGIA
1438,CCT - DIRECAO DE CENTRO
1439,CCT - DPTO DE ENGENHARIA QUIMICA
1440,CCT - DPTO DE FISICA
1441,CCT - DPTO DE ENGENHARIA CIVIL
1442,CCT - DPTO DE ENGENHARIA ELETRICA
1443,CCT - DPTO DE SISTEMAS E COMPUTACAO
1444,CCT - DPTO DE ENGENHARIA AGRICOLA
1445,CCT - DPTO DE ENGENHARIA ATMOSFERICA
1446,CCT - DPTO DE ENGENHARIA MECANICA
1447,CCT - DPTO DE MINERACAO E GEOLOGIA
1448,CCT - DPTO DE MATEMATICA E ESTATISTICA
1449,CCT - DPTO DE ENGENHARIA DE MATERIAIS
1450,CCT - DPTO DE DESENHO INDUSTRIAL
1451,CENTRO DE CIENCIAS BASICAS E DA SAUDE
1452,CCBS - DIRECAO DE CENTRO
1453,CCBS - DPTO CIENCIAS BASICAS E SAUDE
1454,CCBS - DPTO MED INTER SOCIAL E PREVENT
1455,CCBS - DPTO CLINICA CIRURGICA
1456,CCBS - DPTO SAUDE MATERNO INFANTIL
1457,CENTRO DE HUMANIDADES
1458,CH - DIRECAO DE CENTRO
1459,CH - DPTO DE EDUCACAO
1460,CH - DPTO DE SOCIOLOGIA E ANTROPOLOGIA
1461,CH - DPTO DE ECONOMIA E FINANCAS
1462,CH - DPTO DE ARTES
1463,CH - DPTO DE ADM E CONTABILIDADE
1464,CH - DPTO DE LETRAS
1465,CH - DPTO DE HISTORIA E GEOGRAFIA
1466,CENTRO DE CIÊNCIAS AGRÁRIAS (CCA)
1467,CCA - DIREÇÃO DE CENTRO
1468,CCA - DEPARTAMENTO DE SOLOS E ENGENHARIA RURAL
1469,CCA - DEPARTAMENTO DE FITOTECNIA E CIÊNCIAS AMBIENTAIS
1470,CCA - DEPARTAMENTO DE ZOOTECNIA
1471,CCA - DEPARTAMENTO DE CIÊNCIAS FUNDAMENTAIS E SOCIAIS
1472,CENTRO DE CIÊNCIAS HUMANAS SOCIAIS E AGRÁRIAS (CCHSA)
1473,CCHSA - DIREÇÃO DE CENTRO
1474,CCHSA - DEPARTAMENTO DE TECNOLOGIA RURAL
1475,CCHSA - DEPARTAMENTO DE CIÊNCIAS BÁSICAS E SOCIAIS
1476,CCHSA - DEPARTAMENTO DE AGROPECUÁRIA
1477,CENTRO DE FORMACAO DE PROFESSORES
1478,CFP - DIRECAO DE CENTRO
1479,CFP - DPTO DE CIEN EXATAS E NATURAIS
1480,CFP - DPTO DE LETRAS
1481,CFP - DPTO DE EDUCACAO
1482,CFP - DPTO DE CIENCIAS SOCIAIS
1483,CFP - ESCOLA DE ENFER MARIA L BOTELHO
1484,CENTRO DE CIENCIAS JURIDICAS E SOCIAIS
1485,CCJS - DIRECAO DE CENTRO
1486,CCJS - DPTO CIENCIAS JURIDICAS
1487,CCJS - DPTO DE ESTUDOS BASICOS
1488,CCJS - DPTO DE DIR PUBL PRAT FORENSE
1489,CCJS - DPTO ESTUDOS BAS DIREI PRIVADO
